PerovNonPerovFINALANN
exp_label,R_a1,R_b1,R_x1,E_a1,E_b1,E_x1,C_a1,C_b2,C_x2,Material
0,1.72,0.78,1.81,0.82,1.83,3.16,1.86,0.92,1.67,RbFeCl3
1,1.64,0.83,1.81,0.82,1.55,3.16,1.78,0.97,1.67,KMnCl3
0,1.64,0.69,1.81,0.82,1.91,3.16,1.78,0.83,1.67,KNiCl3
0,1.64,1.22,1.81,0.82,1.17,3.16,1.78,1.36,1.67,KSmCl3
0,0.92,0.72,1.81,0.98,1.31,3.16,1.06,0.86,1.67,LiMgCl3
0,0.92,0.69,1.81,0.98,1.91,3.16,1.06,0.83,1.67,LiNiCl3
0,1.49,0.76,1.81,2.33,0.98,3.16,1.63,0.9,1.67,PbLiCl3
0,0.79,0.76,1.81,1.63,0.98,3.16,0.93,0.9,1.67,VLiCl3
0,1.39,0.83,1.81,0.93,1.55,3.16,1.53,0.97,1.67,NaMnCl3
1,1.72,0.83,1.81,0.82,1.55,3.16,1.86,0.97,1.67,RbMnCl3
0,1.39,0.69,1.81,0.93,1.91,3.16,1.53,0.83,1.67,NaNiCl3
0,1.15,1.02,1.81,1.96,0.93,3.16,0.95,1.16,1.67,SnNaCl3
0,1.39,0.74,1.81,0.93,1.65,3.16,1.53,0.88,1.67,NaZnCl3
0,1.7,1.19,1.81,1.62,2.33,3.16,1.84,1.33,1.67,TlPbCl3
0,1.72,1.18,1.81,0.82,0.95,3.16,1.86,1.32,1.67,RbSrCl3
0,1.7,1.18,1.81,1.62,0.95,3.16,1.84,1.32,1.67,TlSrCl3
0,1.7,0.74,1.81,1.62,1.65,3.16,1.84,0.88,1.67,TlZnCl3
1,1.08,0.61,1.4,1.23,1.88,3.44,1.22,0.75,1.26,DyCoO3
1,1.64,0.74,1.33,0.82,1.88,3.98,1.78,0.88,1.19,KCoF3
1,1.72,0.74,1.33,0.82,1.88,3.98,1.86,0.88,1.19,RbCoF3
1,1.7,0.74,1.33,1.62,1.88,3.98,1.84,0.88,1.19,TlCoF3
1,1.11,0.61,1.4,1.2,1.88,3.44,1.25,0.75,1.26,GdCoO3
1,1.12,0.61,1.4,1.24,1.88,3.44,1.26,0.75,1.26,HoCoO3
0,1.64,0.74,2.2,0.82,1.88,2.66,1.78,0.88,2.06,KCoI3
1,1.36,0.61,1.4,1.1,1.88,3.44,1.5,0.75,1.26,LaCoO3
0,0.9,0.53,1.4,1.88,1.55,3.44,1.04,0.67,1.26,CoMnO3
1,1.27,0.61,1.4,1.14,1.88,3.44,1.41,0.75,1.26,NdCoO3
1,1.18,0.61,1.4,1.13,1.88,3.44,1.32,0.75,1.26,PrCoO3
0,0.9,0.5,1.4,1.88,2.55,3.44,1.04,0.64,1.26,CoSeO3
0,0.9,0.4,1.4,1.88,1.9,3.44,1.04,0.54,1.26,CoSiO3
1,1.44,0.53,1.4,0.95,1.88,3.44,1.58,0.67,1.26,SrCoO3
0,0.97,0.74,1.4,2.1,1.88,3.44,1.11,0.88,1.26,TeCoO3
0,0.9,0.6,1.4,1.88,1.54,3.44,1.04,0.74,1.26,CoTiO3
1,1.08,0.61,1.4,1.22,1.88,3.44,1.22,0.75,1.26,YCoO3
1,1.08,0.62,1.4,1.23,1.66,3.44,1.22,0.76,1.26,DyCrO3
1,1.06,0.62,1.4,1.24,1.66,3.44,1.2,0.76,1.26,ErCrO3
1,1.12,0.62,1.4,1.2,1.66,3.44,1.26,0.76,1.26,EuCrO3
1,1.64,0.8,1.33,0.82,1.66,3.98,1.78,0.94,1.19,KCrF3
1,1.39,0.8,1.33,0.93,1.66,3.98,1.53,0.94,1.19,NaCrF3
1,1.72,0.8,1.33,0.82,1.66,3.98,1.86,0.94,1.19,RbCrF3
1,1.11,0.62,1.4,1.2,1.66,3.44,1.25,0.76,1.26,GdCrO3
1,1.36,0.62,1.4,1.1,1.66,3.44,1.5,0.76,1.26,LaCrO3
1,1.03,0.62,1.4,1.27,1.66,3.44,1.17,0.76,1.26,LuCrO3
0,0.8,0.65,1.4,1.66,2.16,3.44,0.94,0.79,1.26,CrMoO3
1,1.27,0.62,1.4,1.14,1.66,3.44,1.41,0.76,1.26,NdCrO3
1,1.18,0.62,1.4,1.13,1.66,3.44,1.32,0.76,1.26,PrCrO3
1,0.96,0.8,1.4,1.28,1.66,3.44,1.1,0.94,1.26,PuCrO3
1,0.87,0.62,1.4,1.36,1.66,3.44,1.01,0.76,1.26,ScCrO3
1,1.05,0.62,1.4,1.25,1.66,3.44,1.19,0.76,1.26,TmCrO3
0,0.64,0.62,1.4,1.63,1.66,3.44,0.78,0.76,1.26,VCrO3
1,1.08,0.62,1.4,1.22,1.66,3.44,1.22,0.76,1.26,YCrO3
1,1.04,0.62,1.4,1.1,1.66,3.44,1.18,0.76,1.26,YbCrO3
1,1.88,1.07,2.2,0.79,1.23,2.66,2.02,1.21,2.06,CsDyI3
1,1.88,0.72,1.33,0.79,1.31,3.98,2.02,0.86,1.19,CsMgF3
0,1.88,0.83,1.33,0.79,1.55,3.98,2.02,0.97,1.19,CsMnF3
0,1.88,0.73,2.2,0.79,2.01,2.66,2.02,0.87,2.06,CsGeI3
0,1.88,0.72,2.2,0.79,1.31,2.66,2.02,0.86,2.06,CsMgI3
0,1.88,0.83,2.2,0.79,1.55,2.66,2.02,0.97,2.06,CsMnI3
0,1.88,0.69,2.2,0.79,1.91,2.66,2.02,0.83,2.06,CsNiI3
1,1.88,1.19,2.2,0.79,2.33,2.66,2.02,1.33,2.06,CsPbI3
1,1.88,1.15,2.2,0.79,1.96,2.66,2.02,0.95,2.06,CsSnI3
0,1.88,1.18,2.2,0.79,0.95,2.66,2.02,1.32,2.06,CsSrI3
0,1.88,0.86,2.2,0.79,1.54,2.66,2.02,1,2.06,CsTiI3
1,1.88,1.03,2.2,0.79,1.25,2.66,2.02,1.17,2.06,CsTmI3
